/home/lazycat/github/projects/sun/trading-service/.venv/lib/python3.12/site-packages/pydantic/main.py:263: UserWarning: API_SERVER_KEY is set to the default insecure value!
  validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
=== AUDIT FOR CYCLE cycle-1779695975 ===
[2026-05-25 07:59:35.898831+00:00] starting |  | info | Entering phase 'starting' with 0 tickers | {"timestamp":547635.997915123,"ticker_count":0}
[2026-05-25 08:13:14.024907+00:00] analyzing | LRMR | info | LRMR: SELL @ 75% (391.9s) — OK | {"action":"SELL","issues":[],"elapsed_s":391.92,"escalated":false,"has_error":false,"confidence":75,"config_used":"v2_cognition","total_tokens":11435}
[2026-05-25 08:13:50.606829+00:00] analyzing | CDNA | info | CDNA: HOLD @ 65% (421.3s) — OK | {"action":"HOLD","issues":[],"elapsed_s":421.25,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11890}
[2026-05-25 08:18:26.694555+00:00] analyzing | PACS | info | PACS: BUY @ 72% (362.5s) — OK | {"action":"BUY","issues":[],"elapsed_s":362.49,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":15370}
[2026-05-25 08:18:48.720051+00:00] analyzing | COGT | info | COGT: BUY @ 65% (366.7s) — OK | {"action":"BUY","issues":[],"elapsed_s":366.68,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11208}
[2026-05-25 08:19:31.218306+00:00] analyzing | MU | info | MU: SELL @ 75% (377.2s) — OK | {"action":"SELL","issues":[],"elapsed_s":377.18,"escalated":false,"has_error":false,"confidence":75,"config_used":"v2_cognition","total_tokens":15623}
[2026-05-25 08:20:25.872026+00:00] analyzing | IP | info | IP: BUY @ 65% (395.2s) — OK | {"action":"BUY","issues":[],"elapsed_s":395.25,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11837}
[2026-05-25 08:25:02.557207+00:00] analyzing | ARCB | info | ARCB: BUY @ 72% (395.8s) — OK | {"action":"BUY","issues":[],"elapsed_s":395.85,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":15627}
[2026-05-25 08:25:16.718205+00:00] analyzing | CMPX | info | CMPX: BUY @ 65% (388.0s) — OK | {"action":"BUY","issues":[],"elapsed_s":387.98,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11076}
[2026-05-25 08:26:02.899076+00:00] analyzing | NBIS | info | NBIS: SELL @ 85% (391.7s) — OK | {"action":"SELL","issues":[],"elapsed_s":391.66,"escalated":false,"has_error":false,"confidence":85,"config_used":"v2_cognition","total_tokens":15588}
[2026-05-25 08:27:02.253404+00:00] analyzing | HIG | info | HIG: BUY @ 72% (396.4s) — OK | {"action":"BUY","issues":[],"elapsed_s":396.36,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":14121}
[2026-05-25 08:31:18.453881+00:00] analyzing | PNC | info | PNC: BUY @ 72% (375.9s) — OK | {"action":"BUY","issues":[],"elapsed_s":375.88,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":13670}
[2026-05-25 08:31:34.832986+00:00] analyzing | NRC | info | NRC: BUY @ 72% (378.1s) — OK | {"action":"BUY","issues":[],"elapsed_s":378.09,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":14799}
[2026-05-25 08:32:24.877185+00:00] analyzing | SANM | info | SANM: SELL @ 85% (382.0s) — OK | {"action":"SELL","issues":[],"elapsed_s":381.95,"escalated":false,"has_error":false,"confidence":85,"config_used":"v2_cognition","total_tokens":15547}
[2026-05-25 08:37:02.273738+00:00] analyzing | DASH | warning | DASH: HOLD @ 0% (600.0s) — ISSUES: Empty rationale; Error in result: LLM Timeout after 600s | {"action":"HOLD","issues":["Empty rationale","Error in result: LLM Timeout after 600s"],"elapsed_s":600.0,"escalated":false,"has_error":true,"confidence":0,"config_used":"","total_tokens":0}
[2026-05-25 08:37:20.867066+00:00] analyzing | CRWV | info | CRWV: BUY @ 65% (362.4s) — OK | {"action":"BUY","issues":[],"elapsed_s":362.39,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11730}
[2026-05-25 08:37:41.218287+00:00] analyzing | OKLO | info | OKLO: BUY @ 65% (366.4s) — OK | {"action":"BUY","issues":[],"elapsed_s":366.37,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":11023}
[2026-05-25 08:38:08.916491+00:00] analyzing | DOCN | info | DOCN: SELL @ 95% (344.0s) — OK | {"action":"SELL","issues":[],"elapsed_s":344.02,"escalated":false,"has_error":false,"confidence":95,"config_used":"v2_cognition","total_tokens":15525}
[2026-05-25 08:38:08.949753+00:00] analyzing |  | info | Exiting phase 'analyzing': 23 ok, 0 errors (100% success) in 0.0s | {"elapsed_s":0,"errors_count":0,"success_rate":100.0,"results_count":23}
[2026-05-25 08:38:08.968408+00:00] trading |  | info | Entering phase 'trading' with 23 tickers | {"timestamp":549949.067645436,"ticker_count":23}
[2026-05-25 08:43:55.167213+00:00] trading |  | info | Exiting phase 'trading': 2 ok, 0 errors (100% success) in 0.0s | {"elapsed_s":0,"errors_count":0,"success_rate":100.0,"results_count":2}
